Label,author,conditions,lock,weight,question,yes_answer,yes_response,Morale,Quality,Schedule,Budget,yes_outcome,no_answer,no_response,Morale,Quality,Schedule,Budget,no_outcome,Author
,PROGRAMMER,,200,50,I found some code in an open source engine! It looks pretty clean to use.,Use it!,Great!,10,-10,10,10,,Let's build it in house.,That's what I thought.,-5,5,,,,Cassidy
,ARTIST,,200,50,"I'm running behind schedule on character sketches, I could use some help.","Okay, we'll hire someone.",Perfect! Thank you!,20,10,0,-30,,It isn't in the budget.,I guess the sketches will be late.,-5,,-10,5,,Cassidy
,MARKETING,marketing_offered_interview == false;,200,50,We have an opportunity to have an interview on our game! Should we do it?,Heck yes! Sign us up!,Consider it done!,20,0,0,0,marketing_offered_interview = true,We're not ready yet.,Maybe another time.,-5,,,,,Cassidy
,INTERVIEWER,marketing_offered_interview == true;,200,50,We've heard great things about your game! What can you tell us about it?,Tell everything!,That sounds amazing! Can't wait to play it!,20,0,-10,30,,Keep some secrets!,"Ooooh, a mystery! Can't wait to play it!",10,,-5,15,,Cassidy
,SOUND DESIGNER,,200,50,I found this website that has stock sounds. Should we use it?,Go ahead!,That will save me soooo much time!,0,-10,20,10,,I'd prefer to keep it in house.,Back to the sound booth I go!,,10,-5,-5,,Cassidy
,MARKETING,stats.budget >= 40;,200,50,People are pirating our game! What should we do?,Open source the code!,Power to the players!,0,0,0,-60,,Shut them down!,"Okay, the fans won't be happy!",10,,,20,,Cassidy
,LEVEL DESIGNER,,200,50,"I had this really cool idea for a level - we have trees, and cities, and this complicated puzzle that goes - …","Uh-huh, sure, go ahead!",Great! I'll go write it up!,20,10,-20,-20,,Stick to the Level Design document.,"Oh, okay…",-10,,5,10,,Cassidy
,HUMAN RESOURCES,stats.morale <= 30 && stats.budget >= 30;,200,50,Employee morale is low. Should we cater in a lunch?,Go for it!,Perfect! I've got them on speed dial!,30,10,-10,-20,,Do we have the money for that?,Understandable.,-5,,5,15,,Cassidy
,HUMAN RESOURCES,stats.morale <= 10 && stats.budget >= 50;,200,50,Employee morale is low. Should we schedule an employee retreat?,I was thinking the same thing!,Consider it booked!,60,20,-20,-40,,Didn't we just take one?,No… but don't work too hard.,-5,,10,25,,Cassidy
,HUMAN RESOURCES,,200,50,Employees are upset about the lunch food. Should we get a vending machine?,Yes we should!,I'm on it!,30,10,10,-20,,Tell them to pack a lunch.,Can do!,-10,,,10,,Cassidy
,CEO,stats.time >= 70;,200,50,"We are ahead of schedule, could we do a Game Jam week?",Let the creativity flow!,I've already built my team!,30,0,-20,0,,Get back to work.,Didn't hurt to ask.,-5,,,,,Cassidy
,HUMAN RESOURCES,,200,50,We should get a speaker to talk about burn out.,I agree!,I'll give them a call!,30,0,-10,-20,,"If you love the work, it isn't burn out.","Okay, just take a break occasionally.",-10,-5,5,10,,Cassidy
,CEO,,200,50,Our beta release is going strong! We should consider increasing the game price!,Do it!,More budget money!,0,0,0,40,,Keep the lower price.,"Understandable, keep the fans happy.",10,,,,,Cassidy
,SOUND DESIGNER,,200,50,We should hire professional voice actors for this part of the game.,You're right!,I know who to call!,0,20,0,-20,,Let's keep it in house.,Then I'm off to the booth!,,-5,,5,,Cassidy
,PRODUCER,,200,50,Our scope is too big. We can't do it all with in budget.,Increase the budget!,Perfect! Thanks!,10,0,-20,-40,scope_has_shrunk = false,Let's zero in that scope!,"Phew, that is a relief.",-5,,15,20,scope_has_shrunk = true,Cassidy
,PROGRAMMER,scope_has_shrunk == true;,200,50,Why did we do all of that work if you were going to shrink the scope?,Maybe we can squeeze it in…,Great! I had to waste it.,10,0,-10,-10,,Learn from them and grow!,You should ask us about scope changes.,-10,,5,5,,Cassidy
,ARTIST,scope_has_shrunk == true;,200,50,What do we do with these animations if we aren't going to use them?,Perhaps we could squeeze it in…,"Oh good, this was my favorite.",10,0,-10,-10,,Archive them.,*scoff* Fine!,-10,,5,5,,Cassidy
,CEO,scope_has_shrunk == false;,200,50,Why did we go over budget and over scope? Where is the money coming from?,Crunch time?,Good. See to that.,-30,0,10,10,,No more team lunches?,Good. See to that.,-15,,5,5,,Cassidy
,PRODUCER,,200,50,"We are not going to hit our release date, what should we do?",Extend the deadline!,Sure! But Marketing won't be happy.,20,0,20,-20,,Crunch time!,Sure! But the employees wont be happy.,-10,,10,10,,Cassidy
,PRODUCER,,200,50,"We are not going to hit our release date, what should we do?",Release it anyway!,Sure! But the players won't be happy.,20,-20,0,-20,,What can we cut?,I'll ask around.,-10,10,5,5,,Cassidy
,ARTIST,,200,50,"I've tried messaging the PROGRAMMER 10 times and he hasn't responded, what should I do?",Leave it to me.,Great! Thanks!,10,0,0,0,programmer_meeting_called = true,Have you tried calling them?,No… I'll try that.,-5,,,,,Cassidy
,PROGRAMMER,programmer_meeting_called == true;,200,50,You asked for this meeting?,You're doing great!,Thank you! I'll keep it up!,10,0,0,0,,Respond to your messages.,"Oh, my out of office must still be on.",-5,5,,,,Cassidy
,LEVEL DESIGNER,,200,50,Do we want to emphasize graphics or story for our project?,Graphics,I'll message the Artist!,0,20,10,0,,Story.,I'll message the Writer!,,10,5,,,Cassidy
,PRODUCER,,200,50,We should look into new equipment. We're using ancient tech from 2019.,Works for me!,Ill get it ordered!,20,20,0,-40,,What we have is fine.,"Okay, but the Smithsonian may call.",-5,,,10,,Cassidy
,LEVEL DESIGNER,,200,50,I've been working 100 hour weeks. Can I go on vacation?,"Yes, of course!",Great! I'm going to zzz…,20,-10,-10,0,,Back to your desk.,But I'm zzz…,-5,-5,-5,,,Cassidy
,CEO,,200,50,"I've been hearing about 'loot boxes', we should add them to our game.","Sure, we can do that.",Great! I hear money coming!,-20,-10,-10,40,,I don't think that fits...,Nonsense! We can make what we want!,-5,,,5,,Cassidy
,CEO,stats.time >= 50;,200,50,"I've been hearing about 'battle royale' games, we should make those.",Sure... I guess we can change everything for that.,Great! Top 10 here we come!,0,0,-40,60,,That changes the entire game.,Maybe next time.,5,,5,-5,,Cassidy
,ARTIST,,200,50,I've been offered a new position. My replacement will by my twin. Her name is also ARTIST.,Good luck! We'll miss you!,I enjoyed working here!,10,-10,0,0,,What about a 20% raise?,Then I'll stay here!,5,5,,-10,,Cassidy
,PROGRAMMER,,200,50,I'm not feeling this engine. We should build our own.,Go ahead!,Great! Now I need to learn how!,20,10,-20,-20,,"No, get back to work.",Fine. We'll use outdated engines.,-5,-5,10,10,,Cassidy
,ARTIST,,200,50,We should decorate the office with art from our game!,Love it!,I'll get started!,10,0,0,-10,,Minimalism is fine.,Minimalism is so 5 years ago.,-5,,,5,,Cassidy
,PRODUCER,,200,50,Employee morale is high. We should push them harder.,Sounds great!,Deadlines here we come!,-20,10,30,0,,Let them be.,You don't want too lax of an office.,5,,-10,-5,,Cassidy
,PROGRAMMER,,200,50,Should we make an anti-piracy message for our game?,"Yes, make it dark.",I've got lots of ideas!,10,0,0,10,,"No, if they pirate it, they needed to.",Okay…,-5,,,-5,,Cassidy
,LEVEL DESIGNER,,200,50,Do we want an open world or strict levels?,Open world!,I'm on it!,10,0,10,0,,Strict Levels!,I'm on it!,5,5,,,,Cassidy
,PROGRAMMER,,200,50,So… I accidentally overwrote... all of the ARTIST's work…,Uh oh. I'll tell them.,Better you than me.,-10,0,-10,0,programmer_has_overwritten_truth = true,Maybe they won't notice?,Fingers crossed!,-5,,-5,,programmer_has_overwritten_truth = false,Cassidy
,ARTIST,programmer_has_overwritten_truth == true;,200,50,The PROGRAMMER overwrote my work? Can we get it back?,We'll try.,"Okay, just let me know.",10,0,0,-10,,Probably not.,I guess I'll have to start over.,-5,,-5,-5,,Cassidy
,ARTIST,programmer_has_overwritten_truth == false;,200,50,Did you know the PROGRAMMER overwrote my work!?,…Yes.,And no one told me!? ,-10,0,-10,-10,,Did he?,"Now, I have to do it all over!",-10,,-10,-5,,Cassidy
,CEO,,200,50,We're running into an issue with our IP. We may have to rebrand.,Consider it done.,I like your grit!,20,0,-10,-10,,Maybe we make everything plural instead?,"Huh, I hadn't thought of that!",,,,,,Cassidy
,LEVEL DESIGNER,,200,50,Can we use existing lore or should we make our own?,Make our own!,Great! Here comes Super Toaster Dude!,10,0,0,-10,,Use existing lore!,Great! I have a great idea about Zeus!,,-5,5,,,Cassidy
,PRODUCER,,200,50,Should we invest in backup software in case the game crashes?,Yes. Do that yesterday!,I'm on it!,0,0,0,-20,purchased_backup = true,"No, we should be fine.",Okay. It makes me nervous…,,,,,purchased_backup = false,Cassidy
,PRODUCER,purchased_backup == true;,200,50,"There was a whole system crash. Luckily, we have back up!",The backup came in handy!,Very much so!,0,0,-10,-10,,Good thing we had the backup!,Indeed!,,,-5,-5,,Cassidy
,PRODUCER,purchased_backup == false;,200,50,There was a whole system crash! We lost 40% of our game!,Oh no!,We got some of it back.,0,0,-60,-60,,Uh oh!,We recovered some of it.,,,-30,-30,,Cassidy
,MASTER CODER,,200,50,What is the true nature of code?,Infinite possibility space,I prefer staying under 640k. Limitations are what drive creativity.,0,0,0,0,,Produce output as per the specs.,"Rigidity and formality make for solid apps, but boring games.",,,,,,
,MASTER CODER,,200,50,I reject the concept of null!,Because it is NaN?,A feeling has no numerical value!,0,0,0,0,,Think of it as falsy and stop worrying.,Next you'll tell me that undefined and zero are equivalent.,,,,,,
,MASTER CODER,,200,50,"To test or not to test, that is the question?",Test and move slowly,"Measure twice, cut once, I suppose!",0,30,40,20,,"Let QA sort it out, and move fast","Until you open the box, the cat is both there and not there.",,-5,-5,-25,,
,MASTER CODER,,200,50,"More comments, or longer variable names?",Comments,"Okay, every function is now well  documented.",10,0,-20,0,,Self documenting code.,Good code is its own best documentation.,2,-1,-10,-10,,
,MASTER CODER,,200,50,Does anyone ever read GDDs? They get so stale by the end.,Better plan it all out.,Weeks of coding can save you hours of planning.,0,0,0,0,,Dive in and be reactive.,We can improvise along the way and iterate.,,,,,,
,MASTER CODER,,200,50,How can we be confident in our code?,Unit tests,"Testing shows the presence, not the absence of bugs.",0,0,0,0,,Playtests.,Users can find things we miss.,,,,,,
,MASTER CODER,,200,50,We had the intern merge bad code to the main branch. Should we spend time to fix it? ,"Yes, let's revert and fix it.",I'm on it.,0,10,-10,0,,It should be fine.,Maybe it won't break anything.,,-5,5,,,Cassidy
,MARKETING,,200,50,We should create a large marketing campaign for the game.,Go for it! ,Good! I already booked it.,10,0,0,-40,marketing_has_budget = true;,Lets stick with the plan.,Okay… Maybe word of mouth is good enough.,-5,,,5,,Cassidy
,MARKETING,marketing_has_budget == true && stats.budget < 40;,200,50,The marketing campaign paid off! We have lots of pre orders! ,Woohoo!,I'm a genius.,20,0,0,80,marketing_has_budget =false,Good to hear! ,Now to think of my next idea.,10,,,40,,Cassidy
,MARKETING,marketing_has_budget == true && stats.budget > 70;,200,50,The marketing campaign…didn't quite work. People are cancelling their pre orders.,That's not good.,I'll try another idea later.,-20,0,0,-40,marketing_has_budget =false,Go back to your desk.,The next idea will be better! ,-10,,,-20,,Cassidy
,HUMAN RESOURCES,,200,50,"We should create a ""Bring your pet to work"" Day",Sounds great! ,Perfect! I'll bring my cat! ,10,0,0,0,pets_allowed = true,"No, I'm allergic.",Not a problem!,-5,,,,,Cassidy
,HUMAN RESOURCES,stats.budget > 40 && stats.morale <30;,200,50,"Employee morale is low, we should build a game room in the office.",Great idea! ,Great! I'll brush up my Pong skills. ,20,0,0,-20,,"We make games, not play them.",Don't push employees too hard!,-5,,,5,,Cassidy
,MARKETING,,200,50,"Should we get a booth at E4, the world's largest gaming convention!",Of course!,I'll find us a table!,10,10,0,-20,,Not this year.,Bummer.,,,,5,,Cassidy
,PRODUCER,,200,50,Some employees want to work from home. Should we let them?,Yes they can! ,Okay! I'm on it!,10,0,-10,10,,"No, in the office is better.",Makes sense.,-5,5,5,,,Cassidy
,QA LEAD,,200,50,The playtesters are saying the game is too hard.,Soften it up.,On it.,0,-10,10,0,,Increase the difficulty more.,On it.,,5,5,,,Cassidy
,CEO,,200,50,Our lawyers say our game is too similar to our competitor. What should we do?,Change it.,Good plan.,-20,20,-20,0,,Don't change it.,You know best. ,10,-10,10,,,Cassidy
,SOUND DESIGNER,,200,50,I’m not liking our fighting sound effects.,Back to the booth!,On it!,0,10,-10,0,,We can't afford the changes.,Understood.,,-5,5,,,Cassidy
,LEVEL DESIGNER,,200,50,We should install a mo-cap booth!,I love it! ,Yay! ,20,20,0,-40,,I hate it!,"Ouch, little harsh. ",-10,,5,5,,Cassidy
,PRODUCER,,200,50,Our sprint is running out of time. Can we have an extension? ,Yes.,"Phew, good.",10,10,-10,-10,,No.,Crunch time it is.,-5,-5,5,5,,Cassidy
,CEO,,200,50,I should speak to the team to tell them how we're doing and boost morale.,Good idea! ,Excellent.,10,0,-10,0,,"Eh, that'll put us behind. ",You'll figure it out.,5,,-5,,,Cassidy
,ARTIST,,200,50,Do you like the realistic art or more cartoony?,Realistic,I thought so too.,0,10,10,0,,Cartoony.,Good! Me too! ,5,,5,,,Cassidy
,INTERN,,200,50,I think I broke the game.,That's how we learn.,You're right.,10,-10,0,0,,Don't touch anything else.,Okay.,-5,,-5,,,Cassidy
,INTERN,,200,50,It is my first day! Who should I go help?,Help the artist.,Can do!,0,0,0,0,intern_help_art = true,Help the programmer.,Can do!,,,,,intern_help_programmer = true,Cassidy
,ARTIST,intern_help_art == true && training_program_starting ==false;,200,50,Perhaps the Intern would be better on another team. They aren't helping here.,We all have to learn somehow.,I guess so.,10,-10,0,0,,Let's create a training program.,Good idea.,5,,,-5, training_program_starting =true,Cassidy
,PROGRAMMER,intern_help_programmer == true && training_program_starting ==false;,200,50,…The Intern is not helping me.,We all have to learn somehow.,But not in my department. ,10,0,-10,0,,Let's create a training program.,Works for me. ,5,,,-5, training_program_starting =true,Cassidy
,PRODUCER, training_program_starting ==true;,200,50,The training program is going well! We should put more effort into it! ,Go ahead!,Great!,20,20,-10,-20,,Let's wait and see.,Okay.,,,5,5, training_program_starting =false,Cassidy
,MARKETING,,200,50,We should spend some money on a professional trailer.,Good idea! ,I'm on it!,0,0,0,-10,advanced_trailer_bought = true,Let's do it in house.,You can't spend yourself out of bad quality.,,,,,advanced_trailer_not_bought = true,Cassidy
,MARKETING,advanced_trailer_bought == true;,200,50,The trailer came out beautifully! Pre-orders are rolling in!,Glad it worked out!,Just doing my job!,10,0,0,30,advanced_trailer_bought = false,Way to go! ,No 'I' in Team!,5,,,15,advanced_trailer_bought = false,Cassidy
,MARKETING,advanced_trailer_not_bought == true;,200,50,The trailer didn't come out as expected. People aren't buying the game.,Live and learn.,I guess so.,-10,0,0,10,advanced_trailer_not_bought == false,We'll get 'em next time.,If you say so.,-5,,,5,advanced_trailer__not_bought == false,Cassidy
,PRODUCER,,200,50,"We extracted a system from a previous game, should we put it into the game?",Let's do it! ,Perfect!,0,-10,10,0,,Let's iterate and make it better.,Done and done!,,5,-5,,,Cassidy
,PRODUCER,,200,50,We should outsource this system. It'll save some time.,Go ahead!,I know who to call!,0,0,20,-20,,Let's do it ourselves.,That's what I thought.,,5,-5,,,Cassidy
,CEO,stats.budget < 20;,200,50,We should do some contract work to bolster revenue.,"Begrudingly, yes.",Good plan.,0,0,-20,20,,We don't have time.,We better make money soon then.,,,,,,Cassidy
,HUMAN RESOURCES,,200,50,We should increase our 401k matching contributions.,I like that idea!,I'm on it!,10,0,0,-10,,A 401k? what now?,Nevermind then.,-5,,,5,,Cassidy
,PRODUCER,,200,50,Should we purchase development kits for the new consoles that are coming out?,Yes we should!,I'll pick one up! ,10,10,0,-10,,Not quite yet. ,"If not now, then when?",-5,,5,5,,Cassidy
,SOUND DESIGNER,,200,50,These VO lines didn't come out right. Should we do them again? ,We should.,I'll call the actors back.,0,10,-10,0,,They're good enough.,If you say so.,,-5,5,,,Cassidy
,ARTIST,,200,50,I believe we are underpaid compared to our competitors. ,We should fix that. Raise for everyone!,Yay!,20,0,0,-20,,It is what we can afford.,I may leave soon if things don't change.,-5,,,5,,Cassidy
,CEO,,200,50,We should have a game jam week for new ideas.,Great idea! ,I always have them.,20,0,-20,0,,Not right now.,Don't burn the employees out.,-5,,5,,,Cassidy
,MARKETING,,200,50,We should create an online video channel to build some hype.,Go for it! ,Can do! ,0,0,0,-10,video_channel_created = true,Let's keep it all hush-hush.,Say no more. ,,,,,,Cassidy
,MARKETING,video_channel_created == true,200,50,The video channel is really taking off! People love the content!,Good move! ,I try my best!,10,0,10,20,,Good idea! ,I'm a master planner!,5,,5,10,,Cassidy
,HUMAN RESOURCES,,200,50,We should have a costume day! ,I'll get my T-Rex outfit! ,I'll find my cat ears!,10,0,0,0,,Not now. ,Not a problem!,,,5,,,Cassidy
,CEO,,200,50,There has been a change in tax law. We owe more than expected.,Out of our control. ,I know.,0,0,0,-10,,Fine.,My thoughts exactly.,,,,-5,,Cassidy
,HUMAN RESOURCES,stats.morale < 30,200,50,"People are complaining about work conditions, what should we do? ",Suggestion box!,Good idea!,10,0,0,0,suggestion_box_active = true,"If they don't like it, they can leave. ",If you think that's best.,-10,-5,-5,-5,,Cassidy
,LEVEL DESIGNER,suggestion_box_active == true,200,50,Could we add a free snack bar in the employee lounge room? ,Great idea! ,Yes! ,10,10,0,-10,,Pass.,Okay…,-5,,,5,,Cassidy
,ARTIST,suggestion_box_active == true,200,50,Could we start working half days on Fridays? ,Good idea! ,Yay!,10,0,-10,0,,Not going to happen. ,Aww…,-5,,5,,,Cassidy
,INTERN,suggestion_box_active == true,200,50,Could the INTERNS get paid more?,Good idea! ,Yay! ,10,0,0,-10,,Not a good idea. ,Back to work I go.,-5,,,5,,Cassidy
,PROGRAMMER,suggestion_box_active == true,200,50,Could remote work be possible? ,Love it! ,Finally! Pajamas here I come!,10,0,-10,0,,Hate it!,Harsh. ,-5,,5,,,Cassidy
,MARKETING,suggestion_box_active == true,200,50,We should charge for tours of the company office! ,Good idea! ,I'll open the doors!,-10,0,0,10,,Won't that breach our NDA's? ,Good point.,5,,,-5,,Cassidy
,LEVEL DESIGNER,,200,50,We should add a custom level editor for the players to our game! ,Great idea! ,Perfect! ,0,10,-10,0,,Pass.,I'll get back to work then.,,-5,5,,,Cassidy
,SOUND DESIGNER,,200,50,Should we create our own OST or buy the rights to songs? ,Create our own OST,Off to the booth I go!,0,20,0,-10,create_ost = true,Buy track rights,Can do!,,,5,-5,,Cassidy
,MARKETING,create_ost == true,200,50,We should sell our OST!,Do it! ,Way ahead of you!,10,0,0,20,,Keep it in the game.,That’s a missed opportunity!,-5,,,-5,,Cassidy
,CEO,,200,50,"The cost of physically producing games is too high, we should go digital only.",I like physical copies!,You know best.,10,0,0,-20,,That's probably a good move.,It’s the way of the future.,-5,,,10,,Cassidy
,LEVEL DESIGNER,,200,50,I have a rather obscure idea for a level. I don't think a lot of people will like it.,Let's see it!,I'm on it!,10,10,0,-10,,Let's do what the audience wants.,That's the safer plan.,-5,,5,5,,Cassidy
,ARTIST,,200,50,"I just have the art done, I don't think I can do the animation without working overtime. Should I do that? ",Overtime it is.,I'll clear my calendar.,-10,0,10,0,,It can wait.,If you think that's best.,,5,-5,,,Cassidy
,PROGRAMMER,,200,50,So… I may have deleted the Game Manager tool... The game isn't working. ,We have to fix it! ,I'm on it! ,0,0,-20,0,,Did Ctrl+Z not work? ,Nope. I tried it. ,,,-10,,,Cassidy
,CEO,,200,50,We blew past our goals! Everyone gets a bonus and a raise! ,Yay!,Thought you might like that news!,20,0,10,20,,Excellent!,Let's keep it up! ,10,,5,10,,Cassidy
,LEVEL DESIGNER,pets_allowed == true,200,50,I'm having a problem with the pets in the office... I'm deathly allergic to the fur. ,No more pets! ,Thank you.,-10,0,0,0,pets_allowed = false,We'll put you far away from the pets.,I don't know if that will work.,-5,,,,,Cassidy
,SOUND DESIGNER,,200,50,"The audio files were saved as an .WAVs, should we save file space and convert them to .OGGs?","Yes, conver it.",Can do!,0,0,10,0,,.WAV file is fine.,I'll keep it the same.,,,-5,,,Cassidy
,LEVEL DESIGNER,,200,50,"We're dropping below our FPS threshold, we need to cut something. ",Lose some background pieces.,I'll shuffle it around! ,0,-10,0,10,,Remove up close details.,Consider it done! ,,-5,5,,,Cassidy
,QA LEAD,,200,50,The bugs are still in this build. We need another build.,Sounds good.,I'll let programming know.,0,10,-10,0,,I'm sure it'll be fine.,I'm not so sure.,,-5,,,big_bug_missed = true,Cassidy
,QA LEAD,big_bug_missed == true;,200,50,Players are talking about the bug we missed. We need to fix it.,"Okay, we'll patch it.",I'll write up a report,0,10,-10,-20,big_bug_missed =false,We'll call it a feature.,I don't think that'll fly.,,,,-10,,Cassidy
,ARTIST,,200,50,Could we get the updated art software? ,Sure we can!,Sweet!,10,10,0,-10,,The current software works fine.,I guess you're right.,,-5,,5,,Cassidy
,HUMAN RESOURCES,,200,50,You should hold a meeting to help boost morale!,"Okay, we'll get everyone together.",I'll put it on the calendar!,0,0,0,0,team_meeting_scheduled = true,Do I have to? ,I suppose you don’t.,,,,,,Cassidy
,HUMAN RESOURCES,team_meeting_scheduled == true;,200,50,Okay! I gathered everyone together for the team meeting!,We're the best! Keep up the good work!,Yay!,10,10,-10,0,,Try not to suck! We don't have time for that! ,We'll do our best! ,-5,5,5,,,Cassidy
,INTERN,,200,50,I have an idea we learned in school about efficiency. ,Whatcha got? ,Let's group people together by sprint team instead of by department. ,10,0,-10,0,intern_idea_pitched = true,I don't have time right now. ,I understand. Maybe another time.,-5,,5,,,Cassidy
,INTERN,intern_idea_pitched == true;,200,50,What do you think of my idea?,We'll try it! ,Really!? Great!,0,0,0,0,intern_idea_active = true,"Good idea, but not now. ",I understand.,,,,,,Cassidy
,PRODUCER,intern_idea_active == true;,200,50,"Wow. Ever since we shifted into sprint teams, productivity has been high! ",Good to hear! ,I'll go back to work!,10,20,20,0,,Thank the INTERN!,I will!,10,10,5,,,Cassidy
,PRODUCER,,200,50,We should encourage process mapping.,Good idea.,I'll let them know.,0,10,-10,0,,Everyone knows what they're doing.,True.,,-5,5,,,Cassidy
,PRODUCER,,200,50,I can't get work done with all these meetings! ,No more than 15 minute meetings!,Finally!,10,-10,10,0,,I manage just fine!,"Yeah, but you're the director. It's your job. ",-5,5,-5,,,Cassidy
,HUMAN RESOURCES,,200,50,We should do employee evaluations and bonuses.,Yes! They deserve it!,I'll schedule them!,10,0,0,-10,,"If they want an eval, they just need to ask.",Understood.,-5,,,5,,Cassidy
,CEO,,200,50,We should try having flexible work schedules.,Agreed!,I'll draft a memo.,20,-10,-10,0,,8-5 works well for us.,You know best. ,-5,5,5,,,Cassidy
,CEO,,200,50,Someone has leaked our game to the press! What should we do?,I'll find the leaker.,Good. I trust you. ,0,0,0,0,find_the_leak = true,"Free marketing, right?","I guess so. But, not the way we planned it.",5,,,-5,,Cassidy
,MARKETING,find_the_leak == true;,200,50,I bought people in to talk about the leak.,Send them in.,Okay.,0,0,0,0,,Send them in.,Okay.,,,,,,Cassidy
,PRODUCER,find_the_leak == true;,200,50,I don't know anything about the leak. ,I believe you. ,*Phew* Thank you. ,10,0,10,0,,There will be repurcussions for this.,But I didn't do it! ,-10,,-10,,,Cassidy
,PROGRAMMER,find_the_leak == true;,200,50,I heard the ARTIST leaked it on social media.,I believe you. ,Good. I'll go back to work.,10,10,0,0,,There will be repurcussions for this.,It wasn't me! ,-10,-10,,,,Cassidy
,ARTIST,find_the_leak == true;,200,50,"It was the INTERN, I saw it on their social media. ",I believe you. ,Thank goodness!,10,10,0,0,,There will be repurcussions for this.,I swear it wasn't me! ,-10,-10,,,,Cassidy
